Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
1025 Pennsylvania Ave.,,Matamoras,PA,,41.361408,-74.708358,Pike County,2019,2396,0.962,0.968,0.01,0,0.022,0,0,0,0,1,0.038,0.549,0.033,0.077,0,0,0.286,0.055,1,0,1037,67460,53,68,77,56,17,71,27,54,10,34,129,178,104,40,71,48,232900,0,0,6,0,0,0,27,17,0,8,0,17,14,25,24,35,83,192,119,175,0,23,0,0,0,0
16750 State Route 706,,Montrose,PA,,41.836834,-75.853115,Susquehanna County,2019,1697,0.991,0.966,0.001,0,0.007,0,0,0.026,0,1,0.009,1,0,0,0,0,0,0,0,0,747,57132,24,25,62,23,52,52,69,26,4,64,72,105,38,64,43,24,236100,17,5,20,12,0,0,0,0,0,0,10,11,8,43,14,22,46,99,143,21,51,31,6,0,0,0
1510 South Main Ave.,,Scranton,PA,,41.39674,-75.689127,Lackawanna County,2019,952,0.934,1,0,0,0,0,0,0,0,0,0.066,1,0,0,0,0,0,0,0,0,485,42604,73,23,25,8,54,11,33,50,23,38,20,77,36,7,7,0,115000,18,13,0,0,0,0,0,14,0,9,23,14,21,66,39,64,8,0,14,0,0,0,0,0,0,0
245 Wilkes-Barre Township Blvd.,,Wilkes-Barre,PA,18702,41.272248,-75.880146,Luzerne County,2019,710,1,0.821,0.02,0,0,0,0,0.159,0,1,0,0,0,0,0,0,0,0,0,0,317,57614,0,9,0,18,24,18,19,10,18,53,43,45,39,0,11,10,118800,0,0,0,0,0,0,8,0,0,0,9,26,0,34,19,11,9,21,0,0,0,0,0,0,0,0
 1026 Wyoming Ave,,Wyoming,PA,18644,41.31175,-75.83742,Luzerne County,2019,981,0.961,0.979,0.005,0.007,0,0.008,0,0,0,0,0.039,0.132,0.868,0,0,0,0,0,0,0,469,32557,42,28,57,54,9,66,0,10,14,26,36,65,27,27,0,8,134700,0,0,0,0,0,0,0,23,0,0,0,36,0,18,45,36,15,8,0,0,8,0,0,0,0,0
168 Ames Drive,,Barre,VT,,44.223818,-72.547019,Washington County,2019,1425,0.97,0.978,0.005,0.007,0,0,0,0.009,0,1,0.03,1,0,0,0,0,0,0,0,0,484,51316,28,18,27,73,16,13,16,10,21,65,31,73,43,16,18,16,221200,30,0,6,0,0,5,0,17,8,0,5,0,4,0,14,26,15,79,48,41,17,8,0,4,0,0
214 Northside Drive,,Bennington,VT,,42.898524,-73.212612,Bennington County,2019,2004,0.969,0.876,0.026,0,0.043,0,0.011,0.043,0.31,0.69,0.031,0.952,0,0,0,0,0.048,0,0,0,658,56250,20,65,75,18,11,17,29,25,45,35,59,91,77,23,38,30,194300,0,10,3,0,0,4,0,4,0,4,2,9,17,49,14,51,48,78,33,73,9,0,0,0,0,0
499 Canal Street,,Brattleboro,VT,,42.839196,-72.566854,Windham County,2019,1461,0.945,0.984,0,0,0,0,0,0.016,0,1,0.055,0.728,0,0,0,0,0,0.272,1,0,607,75858,42,60,40,0,22,11,26,38,0,36,11,198,48,26,30,19,197100,18,0,0,0,0,0,0,0,0,0,0,0,11,0,20,19,112,54,23,28,19,30,0,0,0,0
595 Shelburne Rd,,Burlington,VT,,44.447253,-73.209468,Chittenden County,2019,1347,0.967,0.858,0.057,0.025,0.008,0,0,0.052,0,1,0.033,0.733,0,0,0,0,0,0.267,1,0,545,80694,0,18,22,34,41,26,7,0,14,16,59,139,64,31,25,49,357400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,20,15,141,75,7,0,0,0,0
1184 Prim Road,,Colchester,VT,,44.537851,-73.247453,Chittenden County,2019,2081,0.993,0.966,0.034,0,0,0,0,0,0,0,0.007,1,0,0,0,0,0,0,0,0,853,73958,0,24,46,23,33,54,28,0,87,87,52,118,134,46,84,37,269400,0,0,0,12,0,0,0,0,0,11,0,15,0,14,0,13,14,142,188,163,16,0,0,0,0,0
56 Commons Drive,,Derby,VT,,44.95347,-72.160326,Orleans County,2019,1795,0.961,0.985,0,0,0.01,0,0,0.005,0,1,0.039,1,0,0,0,0,0,0,0,0,836,60154,48,51,50,22,53,41,59,4,44,42,156,87,68,30,50,31,208800,28,0,32,0,0,0,0,0,0,3,6,18,0,23,48,91,33,85,58,99,36,22,0,10,0,2
90 Center Road,,Essex Junction,VT,5452,44.485558,-73.025271,Chittenden County,2019,1368,1,0.985,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,104635,14,24,11,0,10,0,0,41,11,35,33,54,75,81,65,87,379100,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,94,73,103,119,106,21,0,0,0
Route 11 & Route 30,,Manchester,VT,5255,43.16369,-73.07233,Bennington County,2019,980,1,0.97,0,0,0.004,0,0,0.026,0,1,0,0,0,0,0,0,0,0,0,0,400,90882,33,0,0,69,0,8,14,0,4,7,4,100,34,46,49,32,340300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,65,29,72,57,58,4,32,0,0
Route 15 & Munson Ave,,Morrisville,VT,5661,44.573769,-72.590604,Lamoille County,2019,1009,0.967,0.92,0.075,0,0,0,0,0.005,0,1,0.033,0.394,0.606,0,0,0,0,0,0,0,472,44189,40,34,43,26,0,25,24,56,6,36,51,72,9,16,12,22,163400,0,17,0,0,0,0,0,0,0,0,0,0,0,12,55,100,39,23,20,9,0,0,0,0,0,0
38 Rutland Shopping Plaza,,Rutland,VT,,43.611699,-72.962377,Rutland County,2019,1214,1,0.973,0,0,0.012,0,0,0.015,0,1,0,0,0,0,0,0,0,0,0,0,462,70795,10,0,35,13,31,11,17,12,10,43,64,90,73,36,9,8,178400,11,0,0,0,0,0,0,0,0,0,0,0,0,87,19,96,92,95,34,0,17,0,0,0,0,0
41 Hinesburg Road,,South Burlington,VT,,44.465766,-73.172172,Chittenden County,2019,2145,0.947,0.949,0,0,0.011,0,0,0.04,0,1,0.053,1,0,0,0,0,0,0,0,0,1011,63082,79,35,17,89,33,103,19,0,30,64,138,203,60,71,70,0,261900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,17,114,240,74,9,0,0,0,0,0
170 Swanton Rd, Rte 7,St Albans,VT,,44.835559,-73.084004,Franklin County,2019,823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,69712,0,12,16,41,16,0,13,23,0,23,13,15,50,18,71,0,206400,0,0,0,0,0,41,0,0,0,16,0,0,0,25,38,0,0,122,0,0,29,0,0,0,0,0
857 Memorial Drive,,St Johnsbury,VT,,44.444638,-72.016885,Caledonia County,2019,1009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,41776,41,10,29,9,38,43,0,19,44,46,43,0,37,0,8,0,123700,0,0,0,0,0,0,0,0,0,9,0,45,0,59,44,8,16,11,0,0,0,28,0,0,0,0
Route 4A, Westway Mall,West Rutland,VT,,43.593558,-73.041963,Rutland County,2019,1097,0.928,0.991,0,0,0,0,0,0.009,0,1,0.072,1,0,0,0,0,0,0,0,0,438,60192,15,17,18,50,4,43,11,25,10,23,86,72,31,11,14,8,153900,0,0,0,0,0,0,0,0,0,0,17,7,6,73,75,89,33,43,5,26,0,0,0,10,0,0
2725 Route 5 North,,Windsor,VT,,43.486313,-72.384529,Windsor County,2019,1081,0.93,0.922,0,0,0.037,0,0.029,0.012,0,1,0.07,0.329,0,0,0,0,0.671,0,0,0,472,54932,6,93,5,14,39,13,10,0,7,59,106,48,31,27,14,0,185800,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,58,60,52,14,14,0,0,0,0,0,0
